id_mandato,cargo,sg_uf,ano_eleicao,id_pessoa,forma_atual,fonte_atual,data_fim_atual,cargo_incompativel,posse_incompativel
M1998_AC_7_11133_100000107111331,DEPUTADO ESTADUAL,AC,1998,BOCEL0006258,fim_regular,assembleia_api,2003-01-31,PREFEITO,2001-01-01
M2000_01392_13_15888_193,VEREADOR,AC,2000,BOCEL0002228,fim_regular,sapl_municipal,2004-12-31,DEPUTADO FEDERAL,2003-02-01
M2000_01392_13_23555_332,VEREADOR,AC,2000,BOCEL0014388,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_01392_13_65123_329,VEREADOR,AC,2000,BOCEL0004589,fim_regular,sapl_municipal,2004-12-31,DEPUTADO FEDERAL,2003-02-01
M2002_AC_7_22222_317,DEPUTADO ESTADUAL,AC,2002,BOCEL0000891,fim_regular,assembleia_api,2007-01-31,PREFEITO,2005-01-01
M2004_01392_13_23100_75,VEREADOR,AC,2004,BOCEL0012566,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2006_AC_7_13133_10071,DEPUTADO ESTADUAL,AC,2006,BOCEL0000316,fim_regular,assembleia_api,2011-01-31,PREFEITO,2009-01-01
M2008_01392_13_40012_227,VEREADOR,AC,2008,BOCEL0005599,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2012_01392_13_15555_10000000891,VEREADOR,AC,2012,BOCEL0007922,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2016_01392_13_15555_10000001226,VEREADOR,AC,2016,BOCEL0018718,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2020_01392_13_12222_10000851435,VEREADOR,AC,2020,BOCEL0017457,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2020_01392_13_15000_10000699918,VEREADOR,AC,2020,BOCEL0026310,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2020_01392_13_40222_10000969498,VEREADOR,AC,2020,BOCEL0013567,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
